ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
58,Dennis Schroder,BOS,28,27,13,14,33.1,17.1,6.2,14.1,43.8,1.6,4.6,33.6,3.2,3.6,89.6,0.6,2.9,3.6,4.8,2.6,0.9,0.1,2.4,28.9,0,0,1.1
59,Tyrese Maxey,PHI,21,28,14,14,34.6,17.0,6.4,13.4,48.0,1.2,3.2,37.1,3.0,3.4,87.5,0.4,3.1,3.5,4.7,1.4,0.7,0.6,2.4,30.9,0,0,-0.9
60,Bojan Bogdanovic,UTA,32,29,20,9,29.8,17.0,5.7,12.1,47.2,2.6,6.0,42.3,3.0,3.3,90.5,0.8,3.0,3.8,1.7,1.4,0.4,0.0,1.6,24.1,0,0,6.3
61,Jarrett Allen,CLE,23,28,19,9,32.6,16.8,6.8,9.7,70.2,0.0,0.2,16.7,3.1,4.3,71.9,3.3,7.5,10.8,2.0,2.0,0.9,1.4,1.9,37.5,17,0,5.4
62,Gary Trent Jr.,TOR,22,27,14,13,34.5,16.8,6.3,14.4,43.4,2.7,7.1,38.3,1.5,1.7,87.2,0.4,2.6,3.0,2.0,0.9,2.2,0.3,2.1,30.0,0,0,2.1
63,Deandre Ayton,PHX,23,21,17,4,30.9,16.8,7.4,12.0,61.7,0.0,0.3,16.7,1.9,2.8,66.1,2.9,8.4,11.3,1.6,1.8,0.8,0.8,2.2,35.6,13,0,3.2
64,Christian Wood,HOU,26,28,10,18,31.7,16.7,6.3,13.8,45.9,1.6,4.8,34.3,2.4,4.1,57.8,1.9,9.1,11.0,2.3,1.9,0.6,1.0,2.6,36.3,15,0,-5.3
65,Kelly Oubre Jr.,CHA,26,32,16,16,29.0,16.7,6.2,13.5,45.7,2.9,7.6,37.7,1.5,2.3,65.3,1.2,2.9,4.1,1.3,1.1,1.0,0.3,2.6,26.5,1,0,-1.0
66,Jaren Jackson Jr.,MEM,22,30,18,12,26.9,16.4,5.6,13.2,42.8,2.0,5.9,33.3,3.2,3.7,84.8,1.1,4.2,5.2,1.0,1.6,0.9,1.9,3.5,30.9,0,0,3.7
67,Caris LeVert,IND,27,23,11,12,29.0,16.3,6.5,14.8,44.0,1.3,4.5,29.8,2.0,2.4,80.4,0.5,2.3,2.7,3.3,1.7,1.0,0.5,1.9,27.4,0,0,4.0
67,Terry Rozier,CHA,27,23,11,12,31.7,16.3,6.1,14.6,41.8,2.3,6.9,34.0,1.8,2.2,84.0,0.6,2.8,3.4,3.3,1.3,1.2,0.5,1.3,29.2,0,0,-4.0
69,Desmond Bane,MEM,23,31,19,12,28.9,16.3,6.2,13.3,46.5,2.6,6.5,40.6,1.2,1.3,92.7,0.5,3.8,4.3,2.2,1.4,0.9,0.4,2.5,27.4,0,0,1.6
70,Seth Curry,PHI,31,27,14,13,34.4,16.1,6.1,11.8,51.6,2.1,5.4,39.0,1.9,2.2,86.4,0.5,2.5,3.0,3.0,1.6,0.8,0.2,2.4,25.5,0,0,0.4
71,Buddy Hield,SAC,29,31,13,18,28.9,16.0,5.4,13.6,39.2,3.6,9.7,37.4,1.6,1.9,86.4,0.7,3.2,3.9,2.1,1.6,0.8,0.3,2.1,25.5,0,0,-1.5
71,Collin Sexton,CLE,22,11,7,4,28.8,16.0,6.2,13.7,45.0,1.0,4.1,24.4,2.6,3.5,74.4,1.2,2.1,3.3,2.1,2.8,0.9,0.0,2.3,23.0,0,0,-2.7
71,Isaiah Thomas,LAL,32,2,0,2,27.0,16.0,5.0,11.5,43.5,2.5,6.5,38.5,3.5,4.5,77.8,0.5,1.5,2.0,1.0,2.0,0.0,0.5,2.5,19.4,0,0,-1.0
74,Bobby Portis,MIL,26,25,16,9,28.4,15.6,6.0,12.6,47.3,1.9,4.7,40.2,1.8,2.3,79.3,2.8,6.2,9.0,1.4,1.6,0.9,1.0,2.5,32.7,10,0,2.4
75,Scottie Barnes,TOR,20,27,12,15,36.0,15.6,6.3,12.7,49.4,0.8,2.2,35.6,2.3,3.1,72.6,3.0,5.3,8.3,3.4,1.9,1.1,1.0,2.9,34.9,5,0,0.1
76,Cade Cunningham,DET,20,24,5,19,32.3,15.6,5.8,14.9,39.1,2.2,7.0,31.7,1.8,2.1,84.0,1.0,5.1,6.1,5.0,3.8,1.5,0.6,2.8,33.0,5,1,-5.0
77,Will Barton,DEN,30,25,12,13,33.0,15.6,6.0,13.8,43.6,2.4,6.5,37.7,1.0,1.4,74.3,0.6,4.5,5.1,4.2,1.8,0.8,0.5,1.4,30.1,0,0,0.4
78,Nikola Vucevic,CHI,31,21,14,7,33.2,15.3,6.3,15.4,40.7,1.7,4.8,35.0,1.1,1.7,63.9,1.8,8.9,10.6,3.5,1.6,1.0,1.0,2.3,37.4,12,0,2.7
79,Rudy Gobert,UTA,29,29,20,9,31.7,15.1,5.4,7.4,73.8,0.0,0.0,0.0,4.2,6.3,67.2,3.1,11.7,14.8,1.0,1.8,0.8,2.3,2.6,41.8,23,0,8.2
80,RJ Barrett,NYK,21,25,12,13,31.4,15.1,5.4,13.3,40.2,1.9,5.3,35.3,2.5,3.4,73.3,0.8,4.8,5.6,2.1,1.7,0.4,0.3,2.0,25.5,1,0,-3.3
81,Keldon Johnson,SAS,22,28,10,18,30.7,15.1,5.8,12.0,48.1,1.5,3.2,46.1,2.1,3.1,65.9,1.1,5.3,6.3,1.8,1.3,0.9,0.1,1.7,27.2,3,0,-0.6
82,Jordan Clarkson,UTA,29,29,20,9,25.2,15.0,5.4,14.0,38.3,2.6,8.7,30.0,1.6,2.0,80.7,0.8,2.4,3.2,2.1,1.3,0.7,0.2,1.7,23.5,0,0,6.8
83,Jalen Brunson,DAL,25,28,14,14,29.8,14.9,5.9,11.8,49.5,1.0,3.0,32.9,2.2,2.8,78.2,0.6,3.3,3.9,5.2,1.6,0.8,0.0,2.0,28.2,4,0,0.7
84,Tim Hardaway Jr.,DAL,29,29,14,15,31.7,14.9,5.3,13.5,39.1,2.5,7.6,33.2,1.8,2.4,74.3,0.4,3.6,4.0,2.4,0.7,1.0,0.1,1.9,26.0,0,0,-0.7
85,Eric Gordon,HOU,32,25,10,15,29.8,14.8,5.3,10.9,48.4,2.4,5.3,44.4,1.9,2.7,70.6,0.2,1.6,1.8,3.2,2.6,0.6,0.5,1.2,22.7,0,0,-2.5
86,Franz Wagner,ORL,20,31,6,25,32.1,14.5,5.6,12.5,44.5,1.3,3.6,36.3,2.1,2.5,81.0,1.3,3.5,4.7,2.9,1.4,1.1,0.4,2.4,27.8,1,0,-4.5
87,Montrezl Harrell,WAS,27,31,16,15,25.8,14.5,5.5,8.5,64.2,0.1,0.3,33.3,3.4,4.6,72.9,2.2,5.3,7.5,2.2,1.2,0.5,0.6,1.9,29.1,6,0,1.6
88,Chris Paul,PHX,36,29,24,5,32.1,14.4,5.3,11.0,48.6,1.0,2.9,33.7,2.8,3.4,81.8,0.2,3.7,4.0,10.1,2.3,2.0,0.3,2.1,38.9,14,0,5.3
89,Aaron Gordon,DEN,26,29,15,14,32.6,14.1,5.3,10.3,51.8,1.0,3.0,34.9,2.4,3.1,75.8,1.9,3.7,5.6,2.3,1.6,0.6,0.7,2.0,26.5,2,0,4.1
90,Derrick White,SAS,27,29,11,18,31.0,14.0,5.0,12.0,41.4,1.5,5.4,28.0,2.6,3.0,87.2,0.5,3.2,3.7,5.0,1.4,1.2,0.9,2.1,30.8,1,0,-3.5
91,Jalen Green,HOU,19,18,2,16,30.8,14.0,4.8,12.7,38.2,1.8,6.4,27.8,2.6,3.2,80.7,0.4,2.7,3.1,2.3,2.7,0.6,0.2,1.6,21.0,0,0,-13.8
91,Richaun Holmes,SAC,28,22,9,13,27.1,14.0,5.9,8.4,70.7,0.1,0.2,50.0,2.1,2.6,80.7,2.7,6.6,9.3,1.4,1.4,0.3,1.0,3.0,29.5,8,0,-0.5
93,LaMarcus Aldridge,BKN,36,25,18,7,23.6,14.0,6.0,10.4,57.3,0.4,1.2,36.7,1.6,1.9,83.3,1.4,4.3,5.7,0.9,0.8,0.4,1.2,1.7,26.1,1,0,2.6
94,Kyle Lowry,MIA,35,29,17,12,34.6,13.9,4.7,11.0,42.5,2.2,6.6,33.3,2.3,2.7,83.5,0.6,3.9,4.4,8.2,3.2,1.0,0.4,2.6,32.4,8,1,1.6
95,Marcus Morris Sr.,LAC,32,13,6,7,29.7,13.8,5.2,12.1,43.3,2.0,5.4,37.1,1.3,1.7,77.3,0.5,4.3,4.8,1.9,1.4,0.5,0.3,2.2,23.5,1,0,-2.4
96,Evan Mobley,CLE,20,25,17,8,33.6,13.8,5.4,11.5,47.4,0.6,1.7,33.3,2.3,3.0,77.3,1.7,6.6,8.3,2.5,1.6,0.9,1.8,2.1,34.1,7,0,5.1
97,Devonte' Graham,NOP,26,28,9,19,31.3,13.8,4.6,12.3,37.7,3.0,8.2,37.0,1.4,1.8,78.4,0.5,2.0,2.5,4.5,1.6,1.2,0.1,1.4,25.9,0,0,0.4
98,Mike Conley,UTA,34,26,20,6,28.0,13.7,5.0,10.3,48.5,2.6,5.7,45.3,1.2,1.4,83.3,0.4,1.8,2.2,5.5,1.7,1.1,0.3,1.9,27.1,1,0,7.1
99,Lauri Markkanen,CLE,24,22,14,8,30.2,13.7,4.9,12.0,41.1,2.2,6.6,33.1,1.7,2.0,82.2,1.0,4.0,5.0,1.3,0.8,0.8,0.4,1.6,24.4,1,0,6.3
100,Patty Mills,BKN,33,30,21,9,30.2,13.6,4.9,11.0,44.2,3.2,7.4,43.0,0.7,0.8,88.0,0.3,1.7,2.0,2.5,1.1,0.6,0.3,1.3,21.3,0,0,6.2
101,Carmelo Anthony,LAL,37,31,16,15,27.7,13.5,4.5,10.6,42.4,2.5,6.1,40.4,2.0,2.4,82.4,0.7,3.3,4.0,1.0,0.8,0.7,0.7,2.3,23.2,0,0,-0.3
102,Nickeil Alexander-Walker,NOP,23,31,10,21,28.3,13.4,5.0,13.9,36.3,2.0,6.7,30.4,1.3,1.8,73.2,1.0,2.8,3.8,2.6,1.5,1.0,0.4,1.9,24.5,2,0,-3.8
103,Saddiq Bey,DET,22,29,5,24,32.2,13.3,4.8,12.9,36.9,1.9,6.2,31.1,1.9,2.3,79.4,1.7,4.1,5.8,2.4,1.3,1.0,0.2,1.7,26.1,2,0,-7.2
104,Jusuf Nurkic,POR,27,31,13,18,25.3,13.1,5.1,8.9,56.9,0.2,0.8,20.0,2.8,3.8,73.9,2.4,7.7,10.1,2.3,2.2,1.0,0.5,3.2,31.1,12,0,-0.1
